name,meaning,advice
The Fool 愚者,新的開始、無限的潛力、自發性、純真。,勇敢地踏出你的舒適圈，相信自己的直覺，勇往直前，冒險尋找新的機會。
The Magician 魔術師,具現化、機智、權力、啟發的行動。,運用你的技能和資源，將想法具現化。相信自己的創造力，積極地行動，利用機會實現目標。
The High Priestess 女祭司,直覺、隱秘的知識、內在平衡。,深入內心尋找答案。相信你的直覺和靈感，保持冷靜和平衡，探索你的內在世界。
The Empress 女皇,豐饒、愛、創造力、母性。,照顧和培養你的創造力和關係。以愛和慈悲之心對待自己和他人。享受生活的豐盛和美好。
The Emperor 皇帝,權威、穩定、自律、實現目標。,發揮領導能力，制定明確的目標和計劃。保持穩定和自律，追求成功和成就。
The Hierophant 教皇,傳統、信仰、導師、道德規範。,尋找智慧和精神指導。遵循傳統價值觀，尋求道德和倫理的指引。尋找一個導師或老師的幫助。
The Lovers 戀人,愛、合一、選擇、關係。,在愛和關係中做出選擇。與他人建立真實的連結，並保持真誠和開放的心態。聆聽內心的聲音。
The Chariot 戰車,勝利、意志力、奮鬥、掌控。,保持堅定的意志力，朝著目標前進。管理和掌控自己的生活，克服困難並取得勝利。
Strength 力量,勇氣、內在力量、自信。,相信自己的能力和內在力量。用愛和溫柔的方式處理困難，以堅韌和勇氣面對挑戰。
The Hermit 隱士,內省、尋找智慧、孤獨、光明指引。,獨處時間來反思和尋找智慧。個人成長來自於內在的洞察力。尋找內在的平靜和指引。
Wheel of Fortune 命運之輪,運氣、變化、命運、循環。,接受變化和命運的起伏。抓住機會並適應變化。記住一切皆有循環，好運會再度來臨。
Justice 正義,公正、平衡、道德、法律。,以公正和道德的方式行事。尋求平衡和公平。面對真相並做出正確的決定。
The Hanged Man 吊人,放棄、犧牲、觀點轉變、順應。,放下對控制的執著，接受變化。透過改變觀點來獲得新的洞察力。學會順應和放鬆。
Death 死神,結束、轉變、重生、變革。,接受結束和轉變的到來。看到結束是新的開始，接受變革並迎接重生的機會。
Temperance 節制,平衡、和諧、調和、節制。,尋求內在和諧的平衡。以節制和耐心的方式處理事物。尋求身心靈的平衡。
The Devil 惡魔,誘惑、束縛、限制、貪婪。,警惕誘惑和不健康的習慣。擺脫束縛並追求真正的自由。拒絕貪婪和依賴。
The Tower 塔,災難、突變、崩塌、觸動。,接受變動和突變所帶來的挑戰。與困難和災難面對並學習成長。重建在新的基礎上。
The Star 星星,希望、導引、恢復、啟示。,抱著希望並尋求導引。相信自己的內在力量和智慧。透過靈感和直覺找到恢復和啟示的方向。
The Moon 月亮,不確定、幻象、潛意識、直覺。,探索潛意識和情感世界。信任直覺和感受，但要小心幻象和誤導。接受不確定性並找到內在的平靜。
The Sun 太陽,幸福、光明、成功、自信。,享受幸福和光明。追求目標並獲得成功。展現自信和正面能量。
Judgment 審判,覺醒、復甦、轉變、重新評估。,覺醒和轉變的時刻。從過去的經驗中學習，重新評估自己的價值觀和目標。
The World 世界,完成、圓滿、成就、整體。,完成一個階段並獲得成就感。進入新的階段並享受整體的和諧。慶祝自己的成就。
Ace of Wands 權杖Ace,新的開始、創造力、潛在能量。,抓住新的機會，發揮創造力和潛力。專注於目標並展現勇氣。
Two of Wands 權杖Two,計劃、遠見、合作。,制定計劃並展望未來。尋求合作和伙伴關係以實現目標。
Three of Wands 權杖Three,擴展、增長、遠景。,追求更大的機會和成長。展望遠景並準備迎接新的挑戰。
Four of Wands 權杖Four,穩定、慶祝、家庭、團結。,享受穩定和成功的時刻。慶祝成就並建立和諧的家庭和團隊。
Five of Wands 權杖Five,競爭、衝突、挑戰。,面對競爭和衝突，尋找解決衝突的方法。持續努力並克服挑戰。
Six of Wands 權杖Six,勝利、認可、領導。,獲得勝利和認可。展示領導才能和成就。
Seven of Wands 權杖Seven,堅持、防衛、信念。,堅持自己的信念和立場。保護自己免受外界壓力和批評。
Eight of Wands 權杖Eight,快速、行動、進展。,快速行動和進展。抓住機會並迅速前進。
Nine of Wands 權杖Nine,堅持、恢復、堅強。,經歷挑戰後的堅持和恢復。展現堅強的意志力和毅力。
Ten of Wands 權杖Ten,負擔、壓力、超負荷。,感到壓力和負擔。需要釋放部分負擔並找到平衡。
Page of Wands 權杖Page,創意、冒險、新契機。,充滿創意和冒險精神。追求新的契機和機會。
Knight of Wands 權杖Knight,行動、熱情、勇敢。,充滿行動力和熱情。勇往直前，追求自己的目標。
Queen of Wands 權杖Queen,自信、熱情、領導力。,展現自信和熱情。具有領導能力和決斷力。激發他人的熱情和創造力。
King of Wands 權杖King,權威、熱情、企業家精神。,展現權威和領導能力。具有創業家精神和冒險精神。運用自己的熱情和才華追求成功。
